============== Resource: Michael Jordan ==============
Label: John Paxson,		Frequency: 1
Label: Atlanta 1996,		Frequency: 1
Label: Al Jefferson,		Frequency: 1
Label: J. Walter Kennedy Citizenship Award,		Frequency: 1
Label: Ehrenhalle für Basketballer,		Frequency: 1
Label: Yard,		Frequency: 1
Label: David Thompson,		Frequency: 1
Label: Broccoli,		Frequency: 1
Label: Steve Nash,		Frequency: 1
Label: Anchorman,		Frequency: 1
Label: Merchandise,		Frequency: 1
Label: Jonathan Root,		Frequency: 1
Label: NBA-Draft,		Frequency: 1
Label: Alba Berlin,		Frequency: 1
Label: Bill Sharman,		Frequency: 1
Label: Oakland Oaks,		Frequency: 1
Label: kalifornische,		Frequency: 1
Label: Premiata Montegranaro,		Frequency: 1
Label: Aaron Spelling,		Frequency: 1
Label: College Football,		Frequency: 1
Label: First Union Center,		Frequency: 1
Label: The Sword Project,		Frequency: 1
Label: NBA All-Star-Game,		Frequency: 1
Label: Urban Legend,		Frequency: 1
Label: Triangle offense,		Frequency: 1
Label: Chicago Hope,		Frequency: 1
Label: Xavier McDaniel,		Frequency: 1
Label: Sharon Stone,		Frequency: 1
Label: San Diego Rockets,		Frequency: 1
Label: R. Kelly,		Frequency: 1
Label: NBA Rookie Challenge,		Frequency: 1
Label: 21. August,		Frequency: 1
Label: Eddie,		Frequency: 1
Label: Filmschauspieler,		Frequency: 1
Label: Echt super, Mr. Cooper,		Frequency: 1
Label: Caron Butler,		Frequency: 1
Label: Ted Stepien,		Frequency: 1
Label: Doublegewinner,		Frequency: 1
Label: Sam Cassell,		Frequency: 1
Label: Barbie-Puppen,		Frequency: 1
Label: deutschen Fußballnationalmannschaft,		Frequency: 1
Label: Oakland Raiders,		Frequency: 1
Label: Yohani Kinyala Lauwo,		Frequency: 1
Label: Flügelspieler,		Frequency: 1
Label: 1892,		Frequency: 1
Label: Phantoms Braunschweig,		Frequency: 1
Label: Hip-Hop,		Frequency: 1
Label: Raffetseder,		Frequency: 1
Label: Gatorade,		Frequency: 1
Label: Stürmer,		Frequency: 1
Label: Clarissa Davis,		Frequency: 1
Label: Forest Lawn Memorial Park,		Frequency: 1
Label: Manchester City,		Frequency: 1
Label: Rotluchs,		Frequency: 1
Label: Collective Bargaining Agreement,		Frequency: 1
Label: Deutschland,		Frequency: 1
Label: George Lynch,		Frequency: 1
Label: New York Yankees,		Frequency: 1
Label: Lyndon B. Johnson,		Frequency: 1
Label: Komponist,		Frequency: 1
Label: New England Patriots,		Frequency: 1
Label: Sommerspielen 2012,		Frequency: 1
Label: Kokain,		Frequency: 1
Label: Nancy Lieberman,		Frequency: 1
Label: NBA Allstar,		Frequency: 1
Label: Steve McManaman,		Frequency: 1
Label: Stockton,		Frequency: 1
Label: NBA-Saison 1990/1991,		Frequency: 1
Label: Olympiateilnehmer,		Frequency: 1
Label: Texas City,		Frequency: 1
Label: Buzzer Beater,		Frequency: 1
Label: nationales Schutzgebiet innerhalb der USA,		Frequency: 1
Label: Playoff-Finale,		Frequency: 1
Label: Jeffrey Campbell,		Frequency: 1
Label: Phoenix,		Frequency: 1
Label: Earvin “Magic” Johnson,		Frequency: 1
Label: Albert I.,		Frequency: 1
Label: Twin Ring Motegi,		Frequency: 1
Label: Bob Davies,		Frequency: 1
Label: Knoxville,		Frequency: 1
Label: Lauren Jackson,		Frequency: 1
Label: Buckethead,		Frequency: 1
Label: deutsche U21-Nationalmannschaft,		Frequency: 1
Label: Twins – Zwillinge,		Frequency: 1
Label: Karen Shelton,		Frequency: 1
Label: WM 1982,		Frequency: 1
Label: Wellblechpalast,		Frequency: 1
Label: Derek Anderson,		Frequency: 1
Label: Volker Engel,		Frequency: 1
Label: Andrew Gaze,		Frequency: 1
Label: 1889,		Frequency: 1
Label: Solvita Āboltiņa,		Frequency: 1
Label: Takeshi Kitano,		Frequency: 1
Label: Taser,		Frequency: 1
Label: 1887,		Frequency: 1
Label: europäische,		Frequency: 1
Label: Frankreich,		Frequency: 1
Label: 1882,		Frequency: 1
Label: schwarz-rot-goldenem,		Frequency: 1
Label: 1883,		Frequency: 1
Label: Robbins,		Frequency: 1
Label: WM 1994,		Frequency: 1
Label: David Johansen,		Frequency: 1
Label: Robert Ctvrtlik,		Frequency: 1
Label: Sarah Marbeck,		Frequency: 1
Label: NBA-Saison 1991/92,		Frequency: 1
Label: NBA Most Improved Player,		Frequency: 1
Label: Kibo,		Frequency: 1
Label: wertvollster Spieler,		Frequency: 1
Label: Southeast Division,		Frequency: 1
Label: Tamia,		Frequency: 1
Label: Montréal,		Frequency: 1
Label: North Carolina State University,		Frequency: 1
Label: Olympischen Spielen von Sydney im Jahr 2000,		Frequency: 1
Label: VII. Olympischen Sommerspiele,		Frequency: 1
Label: ewigen NBA-Rangliste,		Frequency: 1
Label: Jackie Robinson,		Frequency: 1
Label: Patricia Head,		Frequency: 1
Label: Jugendschutz,		Frequency: 1
Label: Andrei Witaljewitsch Korotajew,		Frequency: 1
Label: Wayne Gretzky,		Frequency: 1
Label: Hamburger,		Frequency: 1
Label: Basketballspieler,		Frequency: 1
Label: British Academy Film Award,		Frequency: 1
Label: Saison 2007/08,		Frequency: 1
Label: NBA Coach of the Year Award,		Frequency: 1
Label: Memphis,		Frequency: 1
Label: BG 74 Göttingen,		Frequency: 1
Label: Bronko Nagurski,		Frequency: 1
Label: 16. September,		Frequency: 1
Label: Julius „Dr. J“ Erving,		Frequency: 1
Label: Avery Johnson,		Frequency: 1
Label: Daedra Charles,		Frequency: 1
Label: Gare Saint-Lazare,		Frequency: 1
Label: Paddy Schmidt,		Frequency: 1
Label: Aïr,		Frequency: 1
Label: Pietro Aretino,		Frequency: 1
Label: Polen,		Frequency: 1
Label: Suzanne McConnell,		Frequency: 1
Label: Lena Horne,		Frequency: 1
Label: As-Sulami,		Frequency: 1
Label: Bass,		Frequency: 1
Label: Stuart Elliot,		Frequency: 1
Label: Weltmeisterschaft 1982,		Frequency: 1
Label: Teri Garr,		Frequency: 1
Label: Personenstunde,		Frequency: 1
Label: Hans Meyer,		Frequency: 1
Label: Genf,		Frequency: 1
Label: Blackjack,		Frequency: 1
Label: Sänger,		Frequency: 1
Label: Olympischen Sommerspiele in Barcelona,		Frequency: 1
Label: Chaka Khan,		Frequency: 1
Label: Griechenland,		Frequency: 1
Label: Antwerpen,		Frequency: 1
Label: Toni Kukoč,		Frequency: 1
Label: 2007 World Series of Poker,		Frequency: 1
Label: 11.Septembers,		Frequency: 1
Label: ABA,		Frequency: 1
Label: Derrick McKey,		Frequency: 1
Label: ABL,		Frequency: 1
Label: Vancouver,		Frequency: 1
Label: Slash,		Frequency: 1
Label: Honda,		Frequency: 1
Label: Afrikameister,		Frequency: 1
Label: Frederick Arthur Stanley, 16. Earl of Derby,		Frequency: 1
Label: Taco Bell,		Frequency: 1
Label: 9. September,		Frequency: 1
Label: Boston Bruins,		Frequency: 1
Label: Bryan Eric Ivie,		Frequency: 1
Label: Shimon Peres,		Frequency: 1
Label: San Epifanio,		Frequency: 1
Label: Levi Strauss & Co.,		Frequency: 1
Label: Verona,		Frequency: 1
