============== Resource: New York ==============
Word: white,		Frequency: 3028
Word: started,		Frequency: 3011
Word: louis,		Frequency: 3002
Word: times,		Frequency: 3000
Word: records,		Frequency: 2979
Word: europe,		Frequency: 2978
Word: book,		Frequency: 2976
Word: navy,		Frequency: 2975
Word: professional,		Frequency: 2949
Word: included,		Frequency: 2946
Word: minnesota,		Frequency: 2943
Word: professor,		Frequency: 2932
Word: historic,		Frequency: 2922
Word: country,		Frequency: 2899
Word: missouri,		Frequency: 2887
Word: design,		Frequency: 2880
Word: race,		Frequency: 2871
Word: play,		Frequency: 2868
Word: township,		Frequency: 2860
Word: end,		Frequency: 2857
Word: catholic,		Frequency: 2855
Word: local,		Frequency: 2852
Word: cemetery,		Frequency: 2850
Word: program,		Frequency: 2821
Word: miami,		Frequency: 2799
Word: michael,		Frequency: 2792
Word: westchester,		Frequency: 2791
Word: headquarters,		Frequency: 2776
Word: large,		Frequency: 2773
Word: association,		Frequency: 2743
Word: recording,		Frequency: 2738
Word: members,		Frequency: 2738
Word: settled,		Frequency: 2727
Word: team,		Frequency: 2720
Word: political,		Frequency: 2718
Word: largest,		Frequency: 2709
Word: produced,		Frequency: 2709
Word: federal,		Frequency: 2708
Word: sold,		Frequency: 2705
Word: jewish,		Frequency: 2695
Word: note,		Frequency: 2695
Word: news,		Frequency: 2680
Word: summer,		Frequency: 2676
Word: railroad,		Frequency: 2674
Word: english,		Frequency: 2656
Word: parents,		Frequency: 2653
Word: orange,		Frequency: 2636
Word: song,		Frequency: 2634
Word: formed,		Frequency: 2620
Word: representatives,		Frequency: 2619
Word: system,		Frequency: 2619
Word: organization,		Frequency: 2609
Word: award,		Frequency: 2609
Word: bank,		Frequency: 2607
Word: firm,		Frequency: 2603
Word: personal,		Frequency: 2600
Word: quebec,		Frequency: 2596
Word: mother,		Frequency: 2591
Word: army,		Frequency: 2589
Word: diego,		Frequency: 2587
Word: civil,		Frequency: 2580
Word: grand,		Frequency: 2574
Word: arrived,		Frequency: 2552
Word: pts,		Frequency: 2530
Word: kentucky,		Frequency: 2514
Word: studies,		Frequency: 2513
Word: tokyo,		Frequency: 2508
Word: suffolk,		Frequency: 2508
Word: appeared,		Frequency: 2507
Word: paul,		Frequency: 2499
Word: military,		Frequency: 2499
Word: exhibition,		Frequency: 2491
Word: research,		Frequency: 2476
Word: mountain,		Frequency: 2475
Word: daughter,		Frequency: 2475
Word: mountains,		Frequency: 2470
Word: port,		Frequency: 2467
Word: jazz,		Frequency: 2456
Word: broadway,		Frequency: 2455
Word: colorado,		Frequency: 2441
Word: puerto,		Frequency: 2436
Word: land,		Frequency: 2434
Word: attorney,		Frequency: 2426
Word: maintenance,		Frequency: 2425
Word: led,		Frequency: 2422
Word: convention,		Frequency: 2417
Word: concert,		Frequency: 2417
Word: montreal,		Frequency: 2414
Word: hospital,		Frequency: 2414
Word: include,		Frequency: 2412
Word: met,		Frequency: 2405
