============== Resource: Michael Jordan ==============
Word: schaden,		Frequency: 11
Word: spielzug,		Frequency: 11
Word: dean,		Frequency: 11
Word: valarie,		Frequency: 11
Word: laurence,		Frequency: 11
Word: coachte,		Frequency: 11
Word: walt,		Frequency: 11
Word: nochmals,		Frequency: 11
Word: versuchte,		Frequency: 11
Word: imitation,		Frequency: 11
Word: fußball,		Frequency: 11
Word: aufgestellt,		Frequency: 11
Word: remember,		Frequency: 11
Word: außen,		Frequency: 11
Word: angemeldet,		Frequency: 11
Word: sensation,		Frequency: 11
Word: maß,		Frequency: 11
Word: nervenstärke,		Frequency: 11
Word: drehung,		Frequency: 11
Word: platzierung,		Frequency: 11
Word: punkteausbeute,		Frequency: 11
Word: weltweite,		Frequency: 11
Word: professionellen,		Frequency: 11
Word: ali,		Frequency: 11
Word: starspieler,		Frequency: 11
Word: houston,		Frequency: 11
Word: falsches,		Frequency: 11
Word: nachempfunden,		Frequency: 11
Word: stockalone,		Frequency: 11
Word: judo,		Frequency: 11
Word: walter,		Frequency: 11
Word: daraufhin,		Frequency: 11
Word: duhon,		Frequency: 11
Word: stand,		Frequency: 11
Word: absprungpunkt,		Frequency: 11
Word: nadia,		Frequency: 11
Word: aba,		Frequency: 11
Word: endete,		Frequency: 11
Word: chet,		Frequency: 11
Word: lectures,		Frequency: 11
Word: titelseiten,		Frequency: 11
Word: lomova,		Frequency: 11
Word: burns,		Frequency: 11
Word: ältesten,		Frequency: 11
Word: weekend,		Frequency: 11
Word: siegesserie,		Frequency: 11
Word: lediglich,		Frequency: 11
Word: weise,		Frequency: 11
Word: weiterhin,		Frequency: 11
Word: rasheed,		Frequency: 11
Word: looney,		Frequency: 11
Word: collegelaufbahn,		Frequency: 11
Word: cousy,		Frequency: 11
Word: führung,		Frequency: 11
